rank,action_id,action_date,dismiss_reason,dismissal_note,asin,amazon_title,amazon_system,ebay_item_id,ebay_title,ebay_condition,ebay_category,ebay_category_ids,seller_username,detected_ebay_platform,game_name,region_code,format,type,features,release_year,stored_recommendation,current_recommendation,current_hard_blocks,current_warnings,pattern,rule_miss_class,evidence_dependency,opportunity_id,candidate_id,snapshot_id
299,5886d6d9-49bf-40bc-b757-f7fb83afd3b9,2026-07-19T20:14:50.278551+00:00,wrong_edition_version,,B0050SX1JO,Sports Champions 2,,v1|376989392023|0,Sports Champions PlayStation 3 PS3 CIB New Sealed Sony,Brand New,Video Games & Consoles; Video Games,139973,douggebhart,PS 3,Sports Champions,NTSC-U/C (US/Canada); United States,,,Manual Included,2010,Probable Match,Probable Match,,,release-year mismatch,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,cf054037-e3b0-421d-b2fa-3c0c9367b269,07c00a40-c778-48d3-969c-abff37b8b8f4,4bf3c064-2d14-45b0-9698-7ea92f1f3936
300,a5e619ec-9259-4bf5-b3be-8c6b9d4e690f,2026-07-19T20:14:43.639666+00:00,wrong_product,,B005187540,Disney Universe - Playstation 3,,v1|165379745100|0,Disney Infinity 2.0 Edition Playstation 3 PS3 Factory Sealed Disc,Brand New,Video Games & Consoles; Video Games,139973,jotymes,PS 3,"Disney Infinity (2.0 Edition), Disney Infinity",,,,,,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,c342fa5d-97e7-4a93-915a-0b4a72120101,e2a60e99-2293-4367-8e84-6cf755da23fe,31619ca8-8d0c-4b0c-b5f0-ab57eec649e0
301,5669c04f-2ab2-4959-b680-797976dbf2e2,2026-07-19T20:14:34.217927+00:00,asin_blocked,,B00897Z1L4,Bratz: Fashion Boutique,,v1|298490433318|0,Activision Bratz Fashion Boutique Nintendo DS Standard NEW Factory Sealed,Brand New,Video Games & Consoles; Video Games,139973,myryder2012,DS,Bratz: Fashion Boutique,Japan,,,Manual Included,2012,Blocked,Blocked,unsupported sourcing platform: DS,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,dc09f7f2-f81b-4d9e-8f68-5d0eec980749,3ca5c8b2-55a6-4cda-ab88-37f4c4490871,d0e16b41-eb0c-4c93-a3ae-43da94399d3b
302,d7bd8e59-804d-4a7e-a8c0-bf49a769a24c,2026-07-19T20:14:21.92759+00:00,wrong_platform,,B00897Z1L4,Bratz: Fashion Boutique,,v1|125023419824|0,Bratz Fashion Boutique Nintendo DS 2012 New,Brand New,Video Games & Consoles; Video Games,139973,gameplayvideogames,DS,Bratz: Fashion Boutique,Japan,,,Manual Included,,Blocked,Blocked,unsupported sourcing platform: DS,,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,53daea46-288d-4745-95ab-8e984dea07f0,8882540e-d404-4e10-b6bc-88675a693ef4,a59e83ca-8122-4a42-8db9-a52205e10920
303,59e719fd-55b9-4fb4-91d0-afa4445a003f,2026-07-19T20:14:11.718922+00:00,incomplete_product,,B00B67ZTUW,Tales of Xillia - Playstation 3,,v1|155982553778|0,Tales of Xillia Music CD (SEALD) & Character Book PS3,Brand New,Music; CDs,176984,nicksplace23,PS 3,,,CD,,,,Probable Match,Probable Match,,,incomplete_product,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,04886b58-277c-4526-91a3-3649d25e03ab,74105e73-56a9-4ffb-9b9c-11a9538277c1,9305ced7-22a4-4cfa-ac5f-f3dd64fa6163
304,ba8e5152-b1b8-4d2a-b90f-56364629ce78,2026-07-19T20:14:11.377843+00:00,incomplete_product,,B00B67ZTUW,Tales of Xillia - Playstation 3,,v1|306980117268|0,Tales of Xillia (PS3) - Music CD Sealed Sountrack ONLY Sealed Cardboard Sleeve,Brand New,Music; CDs,176984,the-random-sanctum,PS 3,,,CD,Album,Sealed,,Probable Match,Probable Match,,,incomplete_product,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,0f242f39-019d-4905-b8dd-d05ed0b1fe1f,c53cab7f-8c8e-463b-af2a-31a21978e01f,9544a879-345f-4ebe-bb07-0549f9495639
305,30689927-dcac-4aad-80f7-1f6c4cad11be,2026-07-19T20:14:00.202579+00:00,missing_shrink_wrap,,B00C710AQO,NBA 2K14 - Playstation 3,,v1|176284395155|0,"Good NBA 2K14 (Sony PlayStation 3 PS3, 2013)",Brand New,Video Games & Consoles; Video Games,139973,wynwoodsocialclub,PS 3,NBA 2K14,,,,,,Blocked,Blocked,excluded keyword: download; digital/download listing: download; incomplete listing: no manual,,missing_shrink_wrap,current rule should already block,image_or_operator_visual_review,05354a7a-7c35-4a9f-94e7-c58fb577c675,f7f8eae7-bcf7-4802-b2fd-b02301f6d783,a543260c-aee4-4cf7-b66a-52559dcc40ac
306,b64c3c16-af7b-4fa9-8519-1ece0dac76f3,2026-07-19T20:13:53.272054+00:00,digital_item,,B00CX7FOVS,Madden NFL 25 - Xbox One,,v1|226586953743|0,🔥 Madden NFL 25 Supercharge Packs  Xbox One / Xbox Series SS/SX 🔥,Brand New,Video Games & Consoles; Video Games,139973,ozymandias.store,Xbox Series X,Madden NFL 25,Region Free; United States,,,"Complete Edition, Multiplayer",2025,Blocked,Blocked,digital/download listing: digital content,,digital_item,current rule should already block,title_only,cffb3b3e-1b2e-4006-8001-a4c8f0b7f18c,ae38a546-04a1-48c4-82d7-6b8933ec0da0,3e94f8a0-c240-4d37-8749-81ea3ce469aa
307,2e5c74a8-fecd-4b60-a0ba-8076e790c279,2026-07-19T20:13:46.60258+00:00,missing_shrink_wrap,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|318451791505|0,ASSASSINS CREED BROTHERHOOD FOR XBOX 360 (CMP126514),Brand New,Video Games & Consoles; Video Games,139973,centralmegapawn,Xbox One,Hello Neighbor,,,,,,Blocked,Blocked,"platform mismatch: Amazon Xbox 360, eBay Xbox One; item-specific Game Name identifies a different game",,missing_shrink_wrap,current rule should already block,image_or_operator_visual_review,89a27d5a-cecf-47f7-b2b9-9aa1c702f69f,2f348390-3a42-4959-aecd-4b973329ba83,ca633311-3b63-483d-90b8-afeead5470e7
308,f24c1a52-386e-440f-b972-96abd8760567,2026-07-19T20:13:36.576868+00:00,sales_velocity_too_low,,B00CZCA6RI,"Assassin's Creed: Brotherhood (Xbox 360, 2010)",,v1|267353267286|0,Assassion's Creed Brotherhood for Xbox 360- New and Sealed,Brand New,Video Games & Consoles; Video Games,139973,jelllybeeen,Xbox 360,Assassin's Creed: Brotherhood,United States,,,,,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,ae668a6c-99c4-418f-9589-91e6e94e332a,04edc70a-747c-48c9-b402-f0e93bd5b301,2c1c8a81-b108-406e-8b52-8a2752e202da
309,877d8caa-36c8-4007-b5e3-34d12c7dca4c,2026-07-19T20:12:26.990878+00:00,non_north_american_version,,B00GY4OAMU,Lego the Hobbit,,v1|313162375134|0,LEGO The Hobbit PS4 PlayStation 4 Brand New Factory Sealed,Brand New,Video Games & Consoles; Video Games,139973,digitalvillellc,PS,LEGO The Hobbit,Region Free PAL; United Kingdom,,,,,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay PS; excluded keyword: download; digital/download listing: account, download, gems; non-North-American version signal: pal, uk import",,non_north_american_version,current rule should already block,title_only,35fbd490-8545-4d94-b4cd-ac762d03c7fe,73cfc534-22f7-4719-9759-ea5721afebfa,10642d68-93e7-4bfb-8e11-9167d16028c3
310,28efddf0-58aa-47cb-b5b6-e873bdda6b0f,2026-07-19T20:12:08.000361+00:00,non_north_american_version,,B00GY4OAMU,Lego the Hobbit,,v1|127855846331|0,LEGO The Hobbit PS4 Brand New Game Special (EU 2014 Action),New,Video Games & Consoles; Video Game Consoles,139971,price-sito,PS 4,,Region Free; United Kingdom,,,"Online Playability, Manual Included, Multiplayer, Complete Edition",,Probable Match,Probable Match,,,non_north_american_version,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,5b9f2688-522e-4059-ae2d-4267bcbbfeaf,cb6db848-ea0a-4000-9d03-03532a502e49,b42396ea-1a7a-4a8e-b920-57c5f0cbc9b0
311,c0ee5f18-e189-45a4-9dd7-5d256a9117cf,2026-07-19T20:11:26.787838+00:00,wrong_edition_version,,B003RS8I92,Rock Band 3 [video game],,v1|167120421314|0,"The Beatles: Rock Band (PlayStation 3, PS3) BRAND NEW SEALED",Brand New,Video Games; Video Games & Consoles,139973; 1249,team_akira,PS 3,The Beatles: Rock Band,United States,,,,2009,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,0d37c777-aa06-4d79-a79d-e634627234b2,875edd44-9735-4768-80f8-2020e1864b35,1942b9d5-00e6-41a9-ac85-a7dd4710c3fe
312,d5b1c07e-a1d8-42cc-99fd-8fab9e17e3c5,2026-07-19T20:11:26.449741+00:00,wrong_edition_version,,B003RS8I92,Rock Band 3 [video game],,v1|278167106520|0,EA Games AC/DC Live: Rock Band Track Pack (Sony PlayStation 3) Music T,Brand New,Video Games; Video Games & Consoles,139973; 1249,12joker12,PS 3,AC/DC Live: Rock Band Track Pack,,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,361c42bb-748d-4b63-ba91-8df660c3f7d8,1cb04370-6146-4392-85a0-33547dafc26b,69364726-c5ed-45da-b2f5-33d72b9d7003
313,ce7850d9-813f-4aef-9b18-f15e5c71cfc6,2026-07-19T20:11:07.771695+00:00,missing_shrink_wrap,,B003KMJ9FC,Monopoly Streets - Nintendo Wii,,v1|397283840992|0,"Monopoly Streets (Nintendo Wii, 2010) perfect condition tested",Brand New,Video Games & Consoles; Video Games,139973,kindnessluigi420,Wii,Monopoly Streets,,,,,2010,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,3fb35357-9cff-4a15-8823-0371465ac6d0,c45014b2-8d26-4ec0-b445-d3c4fc249d72,0a88a6a1-e96f-4d81-8b40-bc395b4e9567
314,250de420-24be-4e31-adb8-7de2896a273a,2026-07-19T20:10:51.275471+00:00,incomplete_product,,B00YI79BJC,Skylanders SuperChargers Racing Starter Pack - Wii,,v1|168370556657|0,"Skylanders SuperChargers Racing Game Wii (from Starter Pack) New, Never Played",Brand New,Video Games & Consoles; Video Games,139973,ldac123718,Wii,Skylanders SuperChargers,NTSC-U/C (US/Canada); United States,,,Multiplayer,2013,Probable Match,Probable Match,,,incomplete_product,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8fce0d42-cae9-4429-99d5-4ef37e331296,1fed5921-c505-4158-99ba-a86dbb74d046,17abfcd1-fc6c-44b1-908d-dedb9c647343
315,ee3e7ad7-889d-4822-bdd3-974467ed5e20,2026-07-19T20:10:42.881143+00:00,wrong_edition_version,,B000R0SRNU,LEGO Star Wars,,v1|297888934024|0,Lego Star Wars the Force Awakens Xbox 360 Brand New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,theopenaisle,Xbox 360,LEGO Star Wars: The Force Awakens,NTSC-U/C (US/Canada),,,,2016,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,e8023dd9-b2c9-457d-97ad-921380ba8b38,12d61bca-5f3c-4208-8d0c-32c4c3a510bb,a230be5d-9e06-40fd-b9e6-c8fdb8f595af
316,5d2a3092-2b91-4f48-b1cf-86c445c683a7,2026-07-19T20:10:28.926416+00:00,wrong_product,,B0056C2LIG,Wii Play Motion (Nintendo Wii),,v1|135309310000|0,"Go Play Lumberjacks (Nintendo Wii, 2009)",Brand New,Video Games & Consoles; Video Games,139973,videogamewizards,Wii,Go Play Lumberjacks,NTSC-U/C (US/Canada),,,Manual Included,,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,d29987ce-f6c4-4fbd-8aff-075f971aabd5,f7fa0e9f-0751-4b6d-90f6-ce5796a0969b,49a0a155-32f2-42cb-ac5c-da1ed0bfa3a4
317,57bcb75a-764e-475c-816d-eb8bf23e535a,2026-07-19T20:10:28.450531+00:00,wrong_product,,B0056C2LIG,Wii Play Motion (Nintendo Wii),,v1|267693927777|0,"Deepak Chopra's Leela Body Mind Spirit Play (Nintendo Wii, 2011) *New Sealed*",Brand New,Video Games & Consoles; Video Games,139973,darkartsgaming,Wii,Deepak Chopra's Leela,NTSC-U/C (US/Canada),,,,2011,Blocked,Blocked,item-specific Game Name identifies a different game,,eBay item-specific Game Name conflict,current rule should already block,title_plus_item_specifics_or_category,d1f7b3f6-c33e-4b6d-af70-2b9d7a9cf142,e22feb4e-8b71-4149-8473-c8b1d186d607,c422cc28-d722-46ba-8758-d1574d8748e8
318,dc456d84-081f-456b-9e17-855c8c00807a,2026-07-19T20:10:28.101284+00:00,wrong_product,,B0056C2LIG,Wii Play Motion (Nintendo Wii),,v1|336578108202|0,Nintendo Wii Wii Play Game BRAND NEW SEALED,Brand New,Video Games & Consoles; Video Games,139973,quiltg-55,Wii,Wii Play,NTSC-U/C (US/Canada); United States,,,,2009,Probable Match,Probable Match,,,title ambiguity from a short/generic game name,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,471e4f41-c4f9-4258-b100-cf230d5f5b0d,c5cf975d-7a83-4735-89ac-de8d3abd7ec7,f680205a-fb4a-4449-83bd-3ff6b967fe7d
319,ab5b0ad4-7ce8-489f-9b26-3b2584c7053a,2026-07-19T20:10:27.647475+00:00,wrong_product,,B0056C2LIG,Wii Play Motion (Nintendo Wii),,v1|168502997086|0,Wii Play (Game only) - Wii #ABJQ,Brand New,Video Games; Video Games & Consoles,139973; 1249,thegridgoodwill,Wii,Wii Play (Game only),United States,,,,,Probable Match,Probable Match,,,title ambiguity from a short/generic game name,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,e096fb68-3160-4e20-8451-b257f4da2a9a,07f0a8bd-7d06-4e46-b89a-bf36dbeb6f16,ff7aff22-47bf-4651-9bbe-1a4803c9b4f1
320,2b111459-79c8-464b-a1dd-61bfa97b052b,2026-07-19T04:47:31.541771+00:00,packaging_damage,,B01LZVTM35,Minecraft: Story Mode- The Complete Adventure - Xbox 360,,v1|227375951781|0,Minecraft Story Mode Xbox 360 Telltale Games The Complete Adventure New Sealed,Brand New,Video Games & Consoles; Video Games,139973,brewsterbob,Xbox 360,Minecraft: Story Mode,NTSC-U/C (US/Canada); United States,,,"Online Playability, Manual Included, Complete Edition",,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,7ba1d07c-4177-4663-a156-1629af44f216,9448bd00-5a13-431e-a558-617dc2f8e86c,aea06d33-5e4c-4e5d-bb30-0112a560ad08
321,0d1c0bd8-f92f-4a23-8acd-efe9c169429c,2026-07-19T04:36:45.508991+00:00,wrong_product,,B072JZB85B,FIFA 18 (PS4) [video game],,v1|188424384878|0,"PS4 Games Lot of 3 NHL 18, NFL Madden 19, Fifa 19, Monster SuperCross 2, Sealed",Brand New,Video Games; Video Games & Consoles,139973; 1249,usasecuritytech,PS 4,Nhl 18,NTSC-U/C (US/Canada); United States,,,Multiplayer,,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,187e3ebb-03fb-4b64-a09a-7a1cd53b0fdf,2721b775-6249-4f52-bbdd-8681e6a7b6ee,73edfeae-1a0c-4d8b-9af2-e427ec2ca01f
322,b288e390-d0f6-46ba-a3cd-bb64d7245035,2026-07-19T04:36:17.498128+00:00,sales_velocity_too_low,,B00OBZI7BY,Tetris Ultimate - Nintendo 3DS,,v1|156295268670|0,"Tetris Ultimate (Nintendo 3DS, 2014) SEALED - BRAND NEW",Brand New,Jeux vidéo; Jeux vidéo et consoles,139973; 1249,la-petite-boutique-des-horreurs,3DS,Tetris Ultimate,,,,,2014,Probable Match,Blocked,non-US item location,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,bdbb3d78-f3f5-42c6-a27d-ed6fa130e8c9,8695181f-fb86-4ae4-aece-ff8599e74bb5,b93043d2-b184-444c-96af-1d54c789d686
323,405e6734-3934-4e4a-a528-60d5a681e196,2026-07-19T04:35:35.037271+00:00,suspected_reseal,,B004CDUOJ8,Madden NFL Football 3DS,,v1|306806756175|0,Madden NFL Football — Nintendo 3DS (Factory Sealed),Brand New,Video Games & Consoles; Video Games,139973,merciermarket,3DS,Madden NFL Football,Canada,,,,,Probable Match,Blocked,non-US item location,,suspected_reseal,current rule should already block,image_or_operator_visual_review,661f0ecb-5a89-4f23-bf1f-b8435696fe72,8bff75a4-8e8e-404e-871b-9963d173e675,a3dcecaf-8689-489c-89aa-55b3320b244b
324,3165b2b9-dbdc-463d-beef-63ea1ef76953,2026-07-19T04:34:27.169606+00:00,wrong_edition_version,,B003RS8I92,Rock Band 3 [video game],,v1|318596913575|0,The Beatles Rock Band Playstation 3 Game Only Brand New (No Instruments),Brand New,Video Games; Video Games & Consoles,139973; 1249,aamart-90,PS 3,The Beatles: Rock Band,NTSC-U/C (US/Canada),,,,2009,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,45414c01-3d01-4b3d-98a3-65ae2a263d6b,cfc18a88-90ac-415c-9cbc-48decdf2df9e,315434a8-46fc-4340-9173-47a25062ad34
325,bb2f5565-a5c7-4ce4-931a-11692b397f5b,2026-07-19T04:20:11.747633+00:00,wrong_product,,B0056C2LIG,Wii Play Motion (Nintendo Wii),,v1|117308371295|0,"Tiger Woods PGA Tour 09: All-Play (Nintendo Wii Game, 2008) Brand NEW IN PLASTIC",Brand New,Video Games; Video Games & Consoles,139973; 1249,goesy2000,Wii,Tiger Woods PGA Tour 09: All-Play,NTSC-U/C (US/Canada); United States,,,Manual Included,2008,Probable Match,Probable Match,,,eBay item-specific Game Name conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,087717d9-7aaa-4be1-a69a-9da1bc435d33,7417e794-5285-4678-ab1e-7dfc399c624f,7c3d1b13-01b4-41ec-8088-ebc5e1be3709
326,9a0ea7d0-1314-4dd3-a38e-bd3e934ce670,2026-07-19T04:18:05.649188+00:00,wrong_edition_version,,B07DPZ1WQ9,Super Mario Party - [Nintendo Switch] [video game],,v1|198505415259|0,Super Mario Party Jamboree - Nintendo Switch - BRAND NEW SEALED - USA,Brand New,Video Games; Video Games & Consoles,139973; 1249,ngu-496348,Switch,Super Mario Party Jamboree,NTSC-U/C (US/Canada); Japan,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,a14e349f-0005-4fdd-8bc5-13d5d430087c,c9bf0a21-cd64-4bbf-be49-153f2ee6182e,1c93c5f0-4e0f-48d7-98d8-b7a2cbf38e98
327,949bc027-77ea-4049-83fe-f96598b67a1b,2026-07-19T04:17:55.614387+00:00,sales_velocity_too_low,,B09GTQ8J7F,The Smurfs: Mission Vileaf (PS5) - PlayStation 5 [video game],,v1|267618627874|0,The Smurfs: Mission Vileaf (PS5) *BRAND NEW - FACTORY SEALED*,Brand New,Video Games; Video Games & Consoles,139973; 1249,dv8bay,PS 5,The Smurfs: Mission Vileaf-Smurftastic Edition,United States,,,,,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,1e7bb47e-57c3-45ee-9433-35b3f40abec0,5535dff7-3eee-413f-a927-44854b0f6b47,258b2859-20ac-4acf-ad98-7f7826d99a15
328,5c04e000-c4ce-427c-a062-5a981778d38c,2026-07-19T04:17:55.0646+00:00,sales_velocity_too_low,,B09GTQ8J7F,The Smurfs: Mission Vileaf (PS5) - PlayStation 5 [video game],,v1|327213132847|0,The Smurfs: Mission Vileaf (PS5) *BRAND NEW - FACTORY SEALED PlayStation 5,Brand New,Video Games; Video Games & Consoles,139973; 1249,gamerzworld1438,PS 5,The Smurfs: Mission Vileaf-Smurftastic Edition,United States,,,,,Probable Match,Probable Match,,,sales_velocity_too_low,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,69ea7b10-34cf-4956-a912-73e6100fe0c3,e62301dd-1fcd-4424-aa7e-08396d07816d,ca954bff-96bb-4e01-9e85-64f9dbf1244a
329,88bb04e5-67b2-43ab-b7d5-b8ce4bd7a19f,2026-07-19T04:16:14.249402+00:00,wrong_edition_version,,B0047TLIBU,Dragon Age 2 - Playstation 3,,v1|267526018532|0,Dragon Age Inquisition PS3 Sony PlayStation 3 Bioware Video Game New Sealed (a2),Brand New,Video Games; Video Games & Consoles,139973; 1249,baconneggz1,PS 3,Dragon Age: Inquisition,NTSC-U/C (US/Canada),,,,2014,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,ade15b9d-b4a9-4bbf-ba9d-1920ff3bc371,9ed64103-115b-41c3-89a2-51d96cf2b227,7b173ddf-f8d4-45a0-afd7-a548d00b906c
330,fc440fbe-c718-40b3-8398-c022b006c644,2026-07-19T04:16:13.65959+00:00,wrong_edition_version,,B0047TLIBU,Dragon Age 2 - Playstation 3,,v1|236506290927|0,Dragon Age Inquisition PS3 PlayStation 3 Brand New Sealed -- S2G --,Brand New,Video Games & Consoles; Video Games,139973,stage2games,PS 3,Dragon Age: Inquisition,,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,86252e2d-11ff-4a5a-888b-6b89c12dfe3c,7fc71b9c-8875-400e-889c-8d33c783cf22,50dc96fd-689a-4f3f-931c-1a53d8acdf07
331,4a431149-4d88-4216-ab36-5e6e5c540686,2026-07-19T04:15:58.978033+00:00,missing_shrink_wrap,,B01GVN0D1U,Resident Evil 7 Biohazard (Xbox One) [video game],,v1|197000225478|0,Resident Evil 7: Biohazard - Microsoft Xbox One,Brand New,Video Games; Video Games & Consoles,139973; 1249,jagaurguy14,Xbox One,Resident Evil 7: Biohazard,,,,,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,b9e1912a-471f-4be7-9254-34f19409104c,4e46adfa-9ece-4b1d-b108-845152224b6f,e45d0105-416b-4d47-87ea-b56d50b17b2a
332,b22bb6f1-8237-438c-b004-5dc38f995e15,2026-07-18T04:49:12.258345+00:00,missing_shrink_wrap,,B07BVTTLGX,No Man's Sky - Xbox One [Xbox One],,v1|366549128387|0,Hello Games No Man's Sky Xbox One Action & Adventure 4K HDR T Teen NTSC,Brand New,Video Games; Video Games & Consoles,139973; 1249,conv-5227,Xbox One,No Man's Sky,NTSC-U/C (US/Canada),,,"4K Ultra HD, HDR",,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,5ec088f9-d26c-443e-9682-923a2e43e12a,7031ce93-2de1-4e5e-8431-191536d7f289,95637c6a-caaf-4d4a-b540-586f48c45c6b
333,4da255c2-4d93-41f8-941e-991bcfc2629a,2026-07-18T04:47:33.197457+00:00,wrong_edition_version,,B003VJKJG2,Plants Vs. Zombies [Xbox 360],,v1|127969902487|0,Plants vs. Zombies Garden Warfare Xbox 360 New Sealed Box Microsoft Video Game,Brand New,Video Games; Video Games & Consoles,139973; 1249,kevt1313,Xbox 360,Plants Vs Zombies Garden Warfare,NTSC-U/C (US/Canada); United States,,,,2014,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b9c22874-3771-4754-9f4e-ca064c880dc3,f015d158-65a9-4197-a65e-c577c3a0a7ea,276d6f40-b7b4-4fb3-bb6c-e7c346e22aaa
334,61daf64e-2e5f-4c74-baa9-894b6624ef12,2026-07-18T04:44:53.880681+00:00,non_north_american_version,,B071X7QQKZ,Fire Emblem Warriors - Nintendo Switch [Nintendo Switch],,v1|257452927113|0,Fire Emblem Warriors: Three Hopes Switch Brand New Game (AUS 2022 Action),Brand New,Video Games; Video Games & Consoles,139973; 1249,themadmanbdm,Switch,Fire Emblem Warriors: Three Hopes,Region Free,,,,2022,Probable Match,Probable Match,,,non_north_american_version,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b3d09ace-1efb-49b2-95f7-43f306221928,e82c8ebd-231e-4e7f-bee9-2ce2545a3f88,25e903ff-d5f3-4585-aa3b-d869a01b530b
335,91527696-0f1b-45cb-bdfe-a527838428cd,2026-07-18T04:44:46.943935+00:00,wrong_edition_version,,B071X7QQKZ,Fire Emblem Warriors - Nintendo Switch [Nintendo Switch],,v1|389594930222|0,Fire Emblem Warriors: Three Hopes Nintendo Switch New/Sealed Smoke Free Home,Brand New,Video Games; Video Games & Consoles,139973; 1249,pickshiprepeat,Switch,Fire Emblem Warriors: Three Hopes,NTSC-U/C (US/Canada); Japan,,,Multiplayer,2022,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,d0299f02-d73f-4f89-80cd-7b7b5ab46e93,6b91cf9d-df18-4155-a8ea-a5bfff019b6a,0b5d30fa-6a6a-442f-9e8a-46bedd47296b
336,60d4a7e2-215b-4a26-bd70-2f72e36cd5ac,2026-07-18T04:44:46.556344+00:00,wrong_edition_version,,B071X7QQKZ,Fire Emblem Warriors - Nintendo Switch [Nintendo Switch],,v1|366477394536|0,Nintendo Fire Emblem Warriors Three Hopes Switch Multiplayer T NTSC-U/C w/ Case,Brand New,Video Games; Video Games & Consoles,139973; 1249,switchypoo,Switch,Fire Emblem Warriors: Three Hopes,NTSC-U/C (US/Canada),,,Multiplayer,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b56a25b6-c43b-42de-8069-6c164b963f6d,54cd86c7-e16a-4ab2-b5a6-55161e1c9d93,814ccafa-577f-469d-8ada-ebc823bbb3d8
337,c550943d-71c8-4ce6-8790-9dc9161f5626,2026-07-18T04:44:46.248096+00:00,wrong_edition_version,,B071X7QQKZ,Fire Emblem Warriors - Nintendo Switch [Nintendo Switch],,v1|406376677580|0,"Fire Emblem Warriors: Three Hopes (Nintendo Switch, 2022) Factory Sealed! Mint!",Brand New,Video Games; Video Games & Consoles,139973; 1249,wildbill1986_9,Switch,Fire Emblem Warriors: Three Hopes,Region Free; Japan,,,Multiplayer,2022,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,4d948cb6-91eb-4cfb-9937-bc32e8eaa53b,a513a644-9026-4ca3-b9bf-9cf3ac3cfac2,548d2e10-283b-4989-b9b0-07e23d7785fc
338,cae79dd8-0439-4783-8942-2df98158364a,2026-07-18T04:44:45.916952+00:00,wrong_edition_version,,B071X7QQKZ,Fire Emblem Warriors - Nintendo Switch [Nintendo Switch],,v1|306803755396|0,Fire Emblem Warriors: Three Hopes Switch Brand New Game (Aus Version),Brand New,Video Games; Video Games & Consoles,139973; 1249,chopatron82,Switch,Fire Emblem Warriors: Three Hopes,Region Free,,,,2022,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,7a6d5aa7-5f51-4b6d-9557-5ceee504c6f3,dc2c8980-897b-467c-9535-1829d45445e5,a9ba7a5a-5379-4a2a-b280-5648e4f033ab
